🃏,277 / 286,,,,,⬆️,,,,,,,,,
💠,226 / 226,,,,,Show/hide card pull rates,,,,,,,,,
⭐,51 / 57,,,,,,Any A1,,,,,,,,
👑,0 / 3,,,,,,Mewtwo,,,Pikachu,,,Charizard,,
TRUE,A1 262,Mewtwo ex,Mewtwo ex,Mewtwo,⭐⭐,1,,0.056%,0.222%,,,,,,
TRUE,A1 263,Machamp ex,Mackogneur ex,Charizard,⭐⭐,1,,,,,,,,0.050%,0.200%
TRUE,A1 264,Marowak ex,Ossatueur ex,Mewtwo,⭐⭐,1,,0.056%,0.222%,,,,,,
FALSE,A1 265,Wigglytuff ex,Grodoudou ex,Pikachu,⭐⭐,0,,,,,0.050%,0.200%,,,
TRUE,A1 266,Erika,Erika,Charizard,⭐⭐,1,,,,,,,,0.050%,0.200%
FALSE,A1 267,Misty,Ondine,Pikachu,⭐⭐,0,,,,,0.050%,0.200%,,,
TRUE,A1 268,Blaine,Auguste,Charizard,⭐⭐,1,,,,,,,,0.050%,0.200%
TRUE,A1 269,Koga,Koga,Mewtwo,⭐⭐,1,,0.056%,0.222%,,,,,,
FALSE,A1 270,Giovanni,Giovanni,Mewtwo,⭐⭐,0,,0.056%,0.222%,,,,,,
FALSE,A1 271,Brock,Pierre,Pikachu,⭐⭐,0,,,,,0.050%,0.200%,,,
TRUE,A1 272,Sabrina,Morgane,Charizard,⭐⭐,1,,,,,,,,0.050%,0.200%
FALSE,A1 273,Lt. Surge,Major Bob,Pikachu,⭐⭐,0,,,,,0.050%,0.200%,,,
TRUE,A1 274,Moltres ex,Sulfura ex,Charizard,⭐⭐,1,,,,,,,,0.050%,0.200%
TRUE,A1 275,Articuno ex,Artikodin ex,Mewtwo,⭐⭐,2,,0.056%,0.222%,,,,,,
TRUE,A1 276,Zapdos ex,Électhor ex,Pikachu,⭐⭐,1,,,,,0.050%,0.200%,,,
TRUE,A1 277,Gengar ex,Ectoplasma ex,Mewtwo,⭐⭐,1,,0.056%,0.222%,,,,,,
TRUE,A1 278,Machamp ex,Mackogneur ex,Charizard,⭐⭐,2,,,,,,,,0.050%,0.200%
TRUE,A1 279,Wigglytuff ex,Grodoudou ex,Pikachu,⭐⭐,1,,,,,0.050%,0.200%,,,
TRUE,A1 280,Charizard ex,Dracaufeu ex,Charizard,⭐⭐⭐,1,,,,,,,,0.222%,0.888%
TRUE,A1 281,Pikachu ex,Pikachu ex,Pikachu,⭐⭐⭐,2,,,,,0.222%,0.888%,,,
TRUE,A1 282,Mewtwo ex,Mewtwo ex,Mewtwo,⭐⭐⭐,1,,0.222%,0.888%,,,,,,
TRUE,A1 283,Mew,Mew,Mission,⭐⭐⭐,1,,,,,,,,,
FALSE,A1 284,Charizard ex,Dracaufeu ex,Any A1,👑,0,,0.013%,0.053%,,0.013%,0.053%,,0.013%,0.053%
FALSE,A1 285,Pikachu ex,Pikachu ex,Any A1,👑,0,,0.013%,0.053%,,0.013%,0.053%,,0.013%,0.053%
FALSE,A1 286,Mewtwo ex,Mewtwo ex,Any A1,👑,0,,0.013%,0.053%,,0.013%,0.053%,,0.013%,0.053%
